%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.fix_quality,field.time,field.zone,field.letter
1582918383491934616,147,0,,42.3371963501,-71.0867156982,-6.55499982834,328095.15625,4689325.0,5.0,193303.40625,19,T
1582918383692985487,148,0,,42.3372001648,-71.0867080688,-6.48000001907,328095.34375,4689325.0,5.0,193303.59375,19,T
1582918383896050558,149,0,,42.3372001648,-71.0867080688,-6.47399997711,328095.5,4689325.0,5.0,193303.796875,19,T
1582918384106904610,150,0,,42.3372001648,-71.0867080688,-6.48600006104,328095.6875,4689325.0,5.0,193304.0,19,T
1582918384295499065,151,0,,42.3372039795,-71.0867080688,-6.43400001526,328095.875,4689325.5,5.0,193304.203125,19,T
1582918384500439811,152,0,,42.3372039795,-71.0867004395,-6.39099979401,328096.0625,4689325.5,5.0,193304.40625,19,T
1582918384865648486,153,0,,42.3372039795,-71.0867004395,-6.38800001144,328096.25,4689325.5,5.0,193304.59375,19,T
1582918384917674910,154,0,,42.3372077942,-71.0867004395,-6.33799982071,328096.4375,4689326.0,5.0,193304.796875,19,T
1582918385105287200,155,0,,42.3372077942,-71.0866928101,-6.30800008774,328096.625,4689326.0,5.0,193305.0,19,T
1582918385302620256,156,0,,42.3372077942,-71.0866928101,-6.26700019836,328096.8125,4689326.0,5.0,193305.203125,19,T
1582918385494888703,157,0,,42.3372116089,-71.0866928101,-6.19500017166,328097.03125,4689326.0,5.0,193305.40625,19,T
1582918385860110123,158,0,,42.3372116089,-71.0866928101,-6.19199991226,328097.1875,4689326.0,5.0,193305.59375,19,T
1582918385912728152,159,0,,42.3372116089,-71.0866851807,-6.15999984741,328097.34375,4689326.5,5.0,193305.796875,19,T
1582918386102317925,160,0,,42.3372116089,-71.0866851807,-6.05399990082,328097.53125,4689326.5,5.0,193306.0,19,T
1582918386297001849,161,0,,42.3372154236,-71.0866851807,-6.03000020981,328097.6875,4689326.5,5.0,193306.203125,19,T
1582918386496628559,162,0,,42.3372154236,-71.0866775513,-6.01800012589,328097.875,4689326.5,5.0,193306.40625,19,T
1582918386693982529,163,0,,42.3372154236,-71.0866775513,-5.96700000763,328098.0625,4689327.0,5.0,193306.59375,19,T
1582918386892618873,164,0,,42.3372192383,-71.0866775513,-5.97700023651,328098.25,4689327.0,5.0,193306.796875,19,T
1582918387090358665,165,0,,42.3372192383,-71.0866775513,-5.95399999619,328098.4375,4689327.0,5.0,193307.0,19,T
1582918387298819694,166,0,,42.3372192383,-71.0866699219,-5.95300006866,328098.65625,4689327.0,5.0,193307.203125,19,T
1582918387495008951,167,0,,42.337223053,-71.0866699219,-5.92100000381,328098.8125,4689327.5,5.0,193307.40625,19,T
1582918387693991002,168,0,,42.337223053,-71.0866699219,-5.91900014877,328099.0,4689327.5,5.0,193307.59375,19,T
1582918388053288944,169,0,,42.337223053,-71.0866622925,-5.86000013351,328099.15625,4689327.5,5.0,193307.796875,19,T
1582918388271758631,170,0,,42.3372268677,-71.0866622925,-5.85400009155,328099.3125,4689327.5,5.0,193308.0,19,T
1582918388449548445,171,0,,42.3372268677,-71.0866622925,-5.8060002327,328099.46875,4689328.0,5.0,193308.203125,19,T
1582918388498242314,172,0,,42.3372268677,-71.0866622925,-5.72100019455,328099.625,4689328.0,5.0,193308.40625,19,T
1582918388702995741,173,0,,42.3372268677,-71.0866546631,-5.73299980164,328099.78125,4689328.0,5.0,193308.59375,19,T
1582918389058365942,174,0,,42.3372306824,-71.0866546631,-5.66499996185,328099.96875,4689328.0,5.0,193308.796875,19,T
1582918389104967399,175,0,,42.3372306824,-71.0866546631,-5.65700006485,328100.15625,4689328.5,5.0,193309.0,19,T
1582918389308028840,176,0,,42.3372306824,-71.0866546631,-5.64099979401,328100.3125,4689328.5,5.0,193309.203125,19,T
1582918389489768764,177,0,,42.3372344971,-71.0866470337,-5.58500003815,328100.5,4689328.5,5.0,193309.40625,19,T
1582918389856388979,178,0,,42.3372344971,-71.0866470337,-5.53100013733,328100.65625,4689328.5,5.0,193309.59375,19,T
1582918390059704236,179,0,,42.3372344971,-71.0866470337,-5.54799985886,328100.84375,4689329.0,5.0,193309.796875,19,T
1582918390267252681,180,0,,42.3372383118,-71.0866394043,-5.50400018692,328101.03125,4689329.0,5.0,193310.0,19,T
1582918390469026737,181,0,,42.3372383118,-71.0866394043,-5.4470000267,328101.21875,4689329.0,5.0,193310.203125,19,T
1582918390683360880,182,0,,42.3372383118,-71.0866394043,-5.43200016022,328101.375,4689329.0,5.0,193310.40625,19,T
1582918390883763159,183,0,,42.3372383118,-71.0866394043,-5.3639998436,328101.5625,4689329.5,5.0,193310.59375,19,T
1582918391088455723,184,0,,42.3372421265,-71.0866317749,-5.33900022507,328101.75,4689329.5,5.0,193310.796875,19,T
1582918391297510352,185,0,,42.3372421265,-71.0866317749,-5.26300001144,328101.90625,4689329.5,5.0,193311.0,19,T
1582918391497029365,186,0,,42.3372421265,-71.0866317749,-5.1810002327,328102.09375,4689329.5,5.0,193311.203125,19,T
1582918391699324115,187,0,,42.3372459412,-71.0866317749,-5.16699981689,328102.28125,4689330.0,5.0,193311.40625,19,T
1582918391901701688,188,0,,42.3372459412,-71.0866241455,-5.09000015259,328102.4375,4689330.0,5.0,193311.59375,19,T
1582918392120046204,189,0,,42.3372459412,-71.0866241455,-5.04300022125,328102.625,4689330.0,5.0,193311.796875,19,T
1582918392349688370,190,0,,42.3372459412,-71.0866241455,-5.07800006866,328102.8125,4689330.0,5.0,193312.0,19,T
1582918392572951783,191,0,,42.3372497559,-71.0866165161,-5.01200008392,328103.0,4689330.5,5.0,193312.203125,19,T
1582918392792076777,192,0,,42.3372497559,-71.0866165161,-4.97599983215,328103.21875,4689330.5,5.0,193312.40625,19,T
1582918393010859320,193,0,,42.3372535706,-71.0866165161,-5.00699996948,328103.375,4689330.5,5.0,193312.59375,19,T
1582918393230558610,194,0,,42.3372535706,-71.0866165161,-4.92700004578,328103.5625,4689330.5,5.0,193312.796875,19,T
1582918393450970901,195,0,,42.3372535706,-71.0866088867,-4.85799980164,328103.71875,4689331.0,5.0,193313.0,19,T
1582918393655956460,196,0,,42.3372535706,-71.0866088867,-4.86499977112,328103.9375,4689331.0,5.0,193313.203125,19,T
1582918393825375793,197,0,,42.3372573853,-71.0866088867,-4.79500007629,328104.125,4689331.0,5.0,193313.40625,19,T
1582918393875451239,198,0,,42.3372573853,-71.0866012573,-4.78200006485,328104.3125,4689331.0,5.0,193313.59375,19,T
1582918393923881108,199,0,,42.3372573853,-71.0866012573,-4.73799991608,328104.46875,4689331.5,5.0,193313.796875,19,T
1582918394106208332,200,0,,42.3372612,-71.0866012573,-4.6859998703,328104.65625,4689331.5,5.0,193314.0,19,T
1582918394306910923,201,0,,42.3372612,-71.0866012573,-4.65399980545,328104.84375,4689331.5,5.0,193314.203125,19,T
1582918394496373121,202,0,,42.3372612,-71.0865936279,-4.62599992752,328105.03125,4689332.0,5.0,193314.40625,19,T
1582918394705181740,203,0,,42.3372650146,-71.0865936279,-4.55800008774,328105.1875,4689332.0,5.0,193314.59375,19,T
1582918394893164518,204,0,,42.3372650146,-71.0865936279,-4.54899978638,328105.375,4689332.0,5.0,193314.796875,19,T
1582918395096047294,205,0,,42.3372688293,-71.0865859985,-4.53299999237,328105.53125,4689332.0,5.0,193315.0,19,T
1582918395295993750,206,0,,42.3372688293,-71.0865859985,-4.49300003052,328105.71875,4689332.5,5.0,193315.203125,19,T
1582918395495892250,207,0,,42.3372688293,-71.0865859985,-4.50299978256,328105.875,4689332.5,5.0,193315.40625,19,T
1582918395699642831,208,0,,42.337272644,-71.0865859985,-4.44600009918,328106.09375,4689332.5,5.0,193315.59375,19,T
1582918395890886192,209,0,,42.337272644,-71.0865783691,-4.37699985504,328106.25,4689333.0,5.0,193315.796875,19,T
1582918396101455783,210,0,,42.337272644,-71.0865783691,-4.38500022888,328106.4375,4689333.0,5.0,193316.0,19,T
1582918396289613038,211,0,,42.3372764587,-71.0865783691,-4.35300016403,328106.625,4689333.0,5.0,193316.203125,19,T
1582918396494187849,212,0,,42.3372764587,-71.0865707397,-4.32600021362,328106.8125,4689333.0,5.0,193316.40625,19,T
1582918396699576637,213,0,,42.3372764587,-71.0865707397,-4.35900020599,328107.03125,4689333.5,5.0,193316.59375,19,T
1582918396888245851,214,0,,42.3372802734,-71.0865707397,-4.28999996185,328107.21875,4689333.5,5.0,193316.796875,19,T
1582918397100558747,215,0,,42.3372802734,-71.0865707397,-4.26900005341,328107.40625,4689333.5,5.0,193317.0,19,T
