%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580426927262117959,87,0,,42.3433570862,-71.0878143311,8.10000038147,328021.1875,4690011.0,19,T
1580426928271009309,88,0,,42.3433570862,-71.0878143311,8.10000038147,328021.1875,4690011.0,19,T
1580426929284903622,89,0,,42.3433570862,-71.0878143311,8.10000038147,328021.1875,4690011.0,19,T
1580426930352509675,90,0,,42.3433570862,-71.0878143311,8.10000038147,328021.1875,4690011.0,19,T
1580426931303453990,91,0,,42.3433570862,-71.0878143311,8.10000038147,328021.1875,4690011.0,19,T
1580426932263582952,92,0,,42.3433570862,-71.0878143311,8.10000038147,328021.1875,4690011.0,19,T
1580426933301077175,93,0,,42.3433570862,-71.0878219604,8.80000019073,328020.5,4690011.0,19,T
1580426934301077859,94,0,,42.3433570862,-71.0878295898,10.0,328019.9375,4690011.0,19,T
1580426935367584202,95,0,,42.3433570862,-71.0878295898,10.0,328019.9375,4690011.0,19,T
1580426936269796077,96,0,,42.3433532715,-71.0878372192,11.3000001907,328019.53125,4690011.0,19,T
1580426937304264744,97,0,,42.3433494568,-71.087852478,11.6000003815,328018.28125,4690010.5,19,T
1580426938305640200,98,0,,42.3433418274,-71.0878601074,11.8000001907,328017.4375,4690009.5,19,T
1580426939268291357,99,0,,42.343334198,-71.0878753662,12.0,328016.4375,4690008.5,19,T
1580426940338190931,100,0,,42.3433265686,-71.0878829956,12.1999998093,328015.46875,4690007.5,19,T
1580426941305719116,101,0,,42.3433189392,-71.0878982544,12.6000003815,328014.34375,4690007.0,19,T
1580426942272096462,102,0,,42.3433151245,-71.0878982544,13.0,328013.9375,4690006.5,19,T
1580426943268103424,103,0,,42.3433151245,-71.0879058838,13.3999996185,328013.375,4690006.5,19,T
1580426944301853239,104,0,,42.3433074951,-71.0879211426,13.8000001907,328012.53125,4690005.5,19,T
1580426945371228279,105,0,,42.3432998657,-71.087928772,14.1999998093,328011.6875,4690005.0,19,T
1580426946302699011,106,0,,42.3432998657,-71.087928772,14.5,328011.40625,4690005.0,19,T
1580426947301327156,107,0,,42.3432922363,-71.0879440308,14.8999996185,328010.5625,4690004.0,19,T
1580426948276648361,108,0,,42.3432884216,-71.0879516602,15.1999998093,328009.875,4690003.5,19,T
1580426949268489507,109,0,,42.3432846069,-71.0879592896,15.6000003815,328009.03125,4690003.0,19,T
1580426950335390295,110,0,,42.3432807922,-71.0879669189,16.1000003815,328008.75,4690003.0,19,T
1580426951265681825,111,0,,42.3432846069,-71.0879592896,16.0,328009.3125,4690003.5,19,T
1580426952264494988,112,0,,42.3432846069,-71.0879592896,16.0,328009.3125,4690003.5,19,T
1580426953266620193,113,0,,42.3432846069,-71.0879592896,16.0,328009.3125,4690003.5,19,T
1580426954267032407,114,0,,42.3432846069,-71.0879592896,16.0,328009.3125,4690003.5,19,T
1580426955333504739,115,0,,42.3432846069,-71.0879592896,16.0,328009.3125,4690003.5,19,T
1580426956266352653,116,0,,42.3432846069,-71.0879592896,16.0,328009.3125,4690003.5,19,T
1580426957279421687,117,0,,42.3432846069,-71.0879592896,16.0,328009.3125,4690003.5,19,T
1580426958268222327,118,0,,42.3432846069,-71.0879592896,16.0,328009.3125,4690003.5,19,T
1580426959279976212,119,0,,42.3432846069,-71.0879592896,16.1000003815,328009.3125,4690003.5,19,T
1580426960351592006,120,0,,42.3432846069,-71.0879592896,16.1000003815,328009.3125,4690003.5,19,T
1580426961268058233,121,0,,42.3432846069,-71.0879592896,16.2999992371,328009.15625,4690003.0,19,T
1580426962268182715,122,0,,42.3432807922,-71.0879592896,16.6000003815,328009.03125,4690002.5,19,T
1580426963267998562,123,0,,42.3432769775,-71.0879592896,16.8999996185,328008.875,4690002.5,19,T
1580426964267349715,124,0,,42.3432731628,-71.0879669189,17.2000007629,328008.71875,4690002.0,19,T
1580426965336766564,125,0,,42.3432731628,-71.0879592896,17.3999996185,328008.875,4690002.0,19,T
1580426966265799568,126,0,,42.3432693481,-71.0879669189,17.6000003815,328008.59375,4690001.5,19,T
1580426967265516362,127,0,,42.3432693481,-71.0879669189,17.5,328008.59375,4690001.5,19,T
1580426968265305181,128,0,,42.3432693481,-71.0879669189,17.5,328008.59375,4690001.5,19,T
1580426969265306873,129,0,,42.3432693481,-71.0879669189,17.5,328008.59375,4690001.5,19,T
1580426970331649223,130,0,,42.3432693481,-71.0879669189,17.5,328008.59375,4690001.5,19,T
1580426971285498510,131,0,,42.3432693481,-71.0879669189,17.5,328008.59375,4690001.5,19,T
1580426972283777405,132,0,,42.3432693481,-71.0879669189,17.6000003815,328008.59375,4690001.5,19,T
1580426973259960378,133,0,,42.3432693481,-71.0879669189,17.5,328008.59375,4690001.5,19,T
1580426974260732616,134,0,,42.3432693481,-71.0879669189,17.6000003815,328008.3125,4690001.5,19,T
1580426975328145463,135,0,,42.3432731628,-71.0879745483,17.6000003815,328008.03125,4690002.0,19,T
1580426976295221138,136,0,,42.3432693481,-71.0879745483,17.6000003815,328008.03125,4690001.5,19,T
1580426977264831713,137,0,,42.3432731628,-71.0879745483,17.6000003815,328008.03125,4690002.0,19,T
1580426978264556916,138,0,,42.3432693481,-71.0879745483,17.8999996185,328007.90625,4690001.5,19,T
1580426979265007133,139,0,,42.3432693481,-71.0879745483,17.8999996185,328007.90625,4690001.5,19,T
1580426980332368970,140,0,,42.3432731628,-71.0879745483,17.8999996185,328008.03125,4690002.0,19,T
1580426981300590962,141,0,,42.3432731628,-71.0879745483,18.0,328008.03125,4690002.0,19,T
1580426982265201224,142,0,,42.3432731628,-71.0879669189,17.8999996185,328008.1875,4690002.0,19,T
1580426983265426299,143,0,,42.3432731628,-71.0879669189,17.8999996185,328008.1875,4690002.0,19,T
1580426984301531207,144,0,,42.3432731628,-71.0879745483,17.8999996185,328008.03125,4690002.0,19,T
1580426985368776517,145,0,,42.3432731628,-71.0879745483,17.8999996185,328008.0625,4690002.0,19,T
1580426986301352956,146,0,,42.3432731628,-71.0879745483,18.0,328007.625,4690002.0,19,T
1580426987264245931,147,0,,42.3432731628,-71.0879745483,18.0,328007.625,4690002.0,19,T
1580426988302252172,148,0,,42.3432769775,-71.0879745483,18.1000003815,328007.90625,4690002.5,19,T
1580426989304624371,149,0,,42.3432769775,-71.0879745483,18.2000007629,328007.90625,4690002.5,19,T
1580426990372724721,150,0,,42.3432769775,-71.0879745483,18.2000007629,328007.90625,4690002.5,19,T
1580426991301127468,151,0,,42.3432807922,-71.0879669189,18.2999992371,328008.34375,4690003.0,19,T
1580426992312997347,152,0,,42.3432807922,-71.0879669189,18.2999992371,328008.34375,4690003.0,19,T
1580426993267762435,153,0,,42.3432846069,-71.0879669189,18.3999996185,328008.75,4690003.5,19,T
1580426994268144931,154,0,,42.3432846069,-71.0879669189,18.3999996185,328008.75,4690003.5,19,T
1580426995334218148,155,0,,42.3432846069,-71.0879669189,18.3999996185,328008.75,4690003.5,19,T
1580426996300134374,156,0,,42.3432884216,-71.0879592896,18.5,328009.03125,4690003.5,19,T
1580426997305326368,157,0,,42.3432884216,-71.0879592896,18.5,328009.03125,4690003.5,19,T
1580426998266025598,158,0,,42.3432884216,-71.0879592896,18.5,328009.03125,4690003.5,19,T
1580426999266155232,159,0,,42.3432884216,-71.0879516602,18.6000003815,328009.46875,4690004.0,19,T
1580427000332829461,160,0,,42.3432884216,-71.0879516602,18.6000003815,328009.46875,4690004.0,19,T
1580427001276548526,161,0,,42.3432884216,-71.0879516602,18.6000003815,328009.46875,4690004.0,19,T
1580427002269473431,162,0,,42.3432922363,-71.0879516602,18.7999992371,328009.75,4690004.0,19,T
1580427003266710046,163,0,,42.3432922363,-71.0879516602,18.7999992371,328009.75,4690004.0,19,T
1580427004277989996,164,0,,42.3432922363,-71.0879516602,18.7999992371,328010.03125,4690004.0,19,T
1580427005344251604,165,0,,42.343296051,-71.0879440308,18.8999996185,328010.3125,4690004.5,19,T
1580427006273929214,166,0,,42.343296051,-71.0879440308,18.8999996185,328010.3125,4690004.5,19,T
1580427007278282397,167,0,,42.3432998657,-71.0879364014,19.0,328010.71875,4690005.0,19,T
1580427008278552962,168,0,,42.3432998657,-71.0879364014,19.0,328011.0,4690005.0,19,T
1580427009273142472,169,0,,42.3433036804,-71.087928772,19.1000003815,328011.4375,4690005.5,19,T
1580427010340643083,170,0,,42.3433113098,-71.087928772,19.1000003815,328012.0,4690006.0,19,T
1580427011279857278,171,0,,42.3433151245,-71.0879211426,19.1000003815,328012.53125,4690006.5,19,T
1580427012273324422,172,0,,42.3433151245,-71.0879135132,19.1000003815,328013.25,4690006.5,19,T
1580427013275267260,173,0,,42.3433189392,-71.0879058838,19.2000007629,328013.375,4690007.0,19,T
1580427014280345922,174,0,,42.3433189392,-71.0879058838,19.2000007629,328013.375,4690007.0,19,T
1580427015347588013,175,0,,42.3433189392,-71.0879058838,19.2000007629,328013.375,4690007.0,19,T
1580427016271923796,176,0,,42.3433189392,-71.0879058838,19.2000007629,328013.65625,4690007.0,19,T
1580427017279703537,177,0,,42.3433189392,-71.0879058838,19.2999992371,328013.8125,4690007.0,19,T
1580427018280490837,178,0,,42.3433189392,-71.0879058838,19.2999992371,328013.78125,4690007.0,19,T
1580427019273788607,179,0,,42.3433189392,-71.0879058838,19.2999992371,328013.8125,4690007.0,19,T
1580427020341024279,180,0,,42.3433189392,-71.0879058838,19.3999996185,328013.8125,4690007.0,19,T
1580427021280133875,181,0,,42.3433189392,-71.0879058838,19.3999996185,328013.8125,4690007.0,19,T
1580427022279390223,182,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427023280324679,183,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427024279726900,184,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427025347310924,185,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427026318130058,186,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427027280357951,187,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427028280406572,188,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427029280441747,189,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427030346052229,190,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427031273543603,191,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427032316339245,192,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427033279665152,193,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427034317846742,194,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427035385106574,195,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427036311122392,196,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427037279876396,197,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427038280323143,198,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427039318424970,199,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427040388299629,200,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427041280716471,201,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427042320549918,202,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427043326672481,203,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427044285418820,204,0,,42.3433189392,-71.0879058838,19.5,328013.65625,4690007.0,19,T
1580427045377261357,205,0,,42.3433189392,-71.0879058838,19.6000003815,328013.53125,4690007.0,19,T
1580427046314463509,206,0,,42.3433189392,-71.0879058838,19.6000003815,328013.375,4690007.0,19,T
1580427047325340923,207,0,,42.3433189392,-71.0879058838,19.6000003815,328013.375,4690007.0,19,T
1580427048321198424,208,0,,42.3433189392,-71.0879058838,19.6000003815,328013.375,4690007.0,19,T
1580427049277420262,209,0,,42.3433189392,-71.0879058838,19.6000003815,328013.375,4690007.0,19,T
1580427050344277330,210,0,,42.3433189392,-71.0879058838,19.6000003815,328013.375,4690007.0,19,T
1580427051280920247,211,0,,42.3433189392,-71.0879058838,19.7000007629,328013.53125,4690007.0,19,T
1580427052273449391,212,0,,42.3433189392,-71.0879058838,19.7000007629,328013.53125,4690007.0,19,T
1580427053280474690,213,0,,42.3433189392,-71.0879058838,19.6000003815,328013.53125,4690007.0,19,T
1580427054274639615,214,0,,42.3433189392,-71.0879058838,19.6000003815,328013.53125,4690007.0,19,T
1580427055345373763,215,0,,42.3433227539,-71.0879058838,19.6000003815,328013.65625,4690007.0,19,T
1580427056274796123,216,0,,42.3433227539,-71.0879058838,19.6000003815,328013.8125,4690007.0,19,T
1580427057274406578,217,0,,42.3433265686,-71.0878982544,19.6000003815,328014.375,4690007.5,19,T
1580427058273891368,218,0,,42.3433265686,-71.0878982544,19.6000003815,328014.5,4690007.5,19,T
1580427059279886510,219,0,,42.3433265686,-71.0878982544,19.6000003815,328014.5,4690007.5,19,T
1580427060347045900,220,0,,42.3433265686,-71.0878982544,19.6000003815,328014.5,4690007.5,19,T
1580427061278271011,221,0,,42.3433265686,-71.0878982544,19.6000003815,328014.5,4690007.5,19,T
1580427062280090169,222,0,,42.3433227539,-71.0878982544,19.6000003815,328014.34375,4690007.5,19,T
1580427063273802699,223,0,,42.3433227539,-71.0878982544,19.6000003815,328014.34375,4690007.5,19,T
1580427064274183757,224,0,,42.3433227539,-71.0878982544,19.6000003815,328014.34375,4690007.5,19,T
1580427065345125365,225,0,,42.3433227539,-71.0878982544,19.7000007629,328014.34375,4690007.5,19,T
1580427066278675884,226,0,,42.3433227539,-71.0878982544,19.7000007629,328014.34375,4690007.5,19,T
1580427067275272613,227,0,,42.3433227539,-71.0878982544,19.7000007629,328014.34375,4690007.5,19,T
1580427068276995988,228,0,,42.3433227539,-71.0878982544,19.7000007629,328014.34375,4690007.5,19,T
1580427069280904502,229,0,,42.3433227539,-71.0878982544,19.7999992371,328014.34375,4690007.5,19,T
1580427070351756686,230,0,,42.3433227539,-71.0878982544,19.7999992371,328014.34375,4690007.5,19,T
1580427071275540807,231,0,,42.3433227539,-71.0878982544,19.8999996185,328014.34375,4690007.5,19,T
1580427072277834790,232,0,,42.3433227539,-71.0878982544,19.8999996185,328014.34375,4690007.5,19,T
1580427073277409656,233,0,,42.3433265686,-71.0878982544,20.0,328014.21875,4690007.5,19,T
